endcap, station, ring, chamber, rphi (cm), phiy (rad)
2, 2, 1, 1, -0.03362473, -0.00207786
2, 2, 1, 2, -0.05405858, -0.00025339
2, 2, 1, 3, 0.01117802, -0.00177186
2, 2, 1, 4, -0.10654825, 0.00207509
2, 2, 1, 5, 0.03483300, -0.00285140
2, 2, 1, 6, 0.01776994, -0.00247237
2, 2, 1, 7, 0.10715293, -0.00170880
2, 2, 1, 8, 0.05540341, -0.00196930
2, 2, 1, 9, 0.06501381, 0.00006174
2, 2, 1, 10, 0.17394040, 0.00333370
2, 2, 1, 11, 0.08457351, 0.00070306
2, 2, 1, 12, -0.01299067, 0.00267892
2, 2, 1, 13, -0.01393972, 0.00000000
2, 2, 1, 14, -0.12272350, -0.00000000
2, 2, 1, 15, -0.02457682, 0.00000000
2, 2, 1, 16, 0.01490058, 0.00000000
2, 2, 1, 17, -0.16424015, -0.00574946
2, 2, 1, 18, -0.08039627, -0.00294511
2, 3, 1, 1, 0.00000000, -0.00014354
2, 3, 1, 2, 0.03212533, 0.00070145
2, 3, 1, 3, 0.01622755, 0.00123746
2, 3, 1, 4, 0.03708148, -0.00218888
2, 3, 1, 5, 0.07796349, 0.00332125
2, 3, 1, 6, 0.06981089, 0.00229231
2, 3, 1, 7, -0.01239048, -0.00255134
2, 3, 1, 8, -0.11754209, -0.00076791
2, 3, 1, 9, -0.05492773, -0.00272284
2, 3, 1, 10, -0.03312862, 0.00379411
2, 3, 1, 11, 0.06572510, 0.00215617
2, 3, 1, 12, 0.02419027, 0.00218323
2, 3, 1, 13, 0.00881303, -0.00000000
2, 3, 1, 14, 0.05179870, -0.00000000
2, 3, 1, 15, 0.08261373, -0.00000000
2, 3, 1, 16, 0.09202859, -0.00000000
2, 3, 1, 17, -0.12277854, -0.00359965
2, 3, 1, 18, 0.03145003, 0.00051816
